City,Year,Data_Type,Mode,Avg_Commute_Time,Source1,Source2
Monte Sereno,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Moraga,2018,Residence,Carpool,34.44,B08013_ACS18_5YR,B08301_ACS18_5YR
Morgan Hill,2018,Residence,Carpool,38.65,B08013_ACS18_5YR,B08301_ACS18_5YR
Mountain View,2018,Residence,Carpool,23.03,B08013_ACS18_5YR,B08301_ACS18_5YR
Napa,2018,Residence,Carpool,23.99,B08013_ACS18_5YR,B08301_ACS18_5YR
Newark,2018,Residence,Carpool,32.13,B08013_ACS18_5YR,B08301_ACS18_5YR
Novato,2018,Residence,Carpool,34.95,B08013_ACS18_5YR,B08301_ACS18_5YR
Oakland,2018,Residence,Carpool,31.56,B08013_ACS18_5YR,B08301_ACS18_5YR
Oakley,2018,Residence,Carpool,46.47,B08013_ACS18_5YR,B08301_ACS18_5YR
Orinda,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Pacifica,2018,Residence,Carpool,28.88,B08013_ACS18_5YR,B08301_ACS18_5YR
Palo Alto,2018,Residence,Carpool,22.4,B08013_ACS18_5YR,B08301_ACS18_5YR
Petaluma,2018,Residence,Carpool,36.26,B08013_ACS18_5YR,B08301_ACS18_5YR
Piedmont,2018,Residence,Carpool,36.9,B08013_ACS18_5YR,B08301_ACS18_5YR
Pinole,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Pittsburg,2018,Residence,Carpool,50.28,B08013_ACS18_5YR,B08301_ACS18_5YR
Pleasant Hill,2018,Residence,Carpool,37.31,B08013_ACS18_5YR,B08301_ACS18_5YR
Pleasanton,2018,Residence,Carpool,36.55,B08013_ACS18_5YR,B08301_ACS18_5YR
Portola Valley,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Redwood City,2018,Residence,Carpool,28.23,B08013_ACS18_5YR,B08301_ACS18_5YR
Richmond,2018,Residence,Carpool,33.92,B08013_ACS18_5YR,B08301_ACS18_5YR
Rio Vista,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Rohnert Park,2018,Residence,Carpool,31.43,B08013_ACS18_5YR,B08301_ACS18_5YR
Ross,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Anselmo,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Bruno,2018,Residence,Carpool,25.31,B08013_ACS18_5YR,B08301_ACS18_5YR
San Carlos,2018,Residence,Carpool,25.18,B08013_ACS18_5YR,B08301_ACS18_5YR
San Francisco,2018,Residence,Carpool,31.32,B08013_ACS18_5YR,B08301_ACS18_5YR
San Jose,2018,Residence,Carpool,31.77,B08013_ACS18_5YR,B08301_ACS18_5YR
San Leandro,2018,Residence,Carpool,32.83,B08013_ACS18_5YR,B08301_ACS18_5YR
San Mateo,2018,Residence,Carpool,25.67,B08013_ACS18_5YR,B08301_ACS18_5YR
San Pablo,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
San Rafael,2018,Residence,Carpool,28.92,B08013_ACS18_5YR,B08301_ACS18_5YR
San Ramon,2018,Residence,Carpool,41.8,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Clara,2018,Residence,Carpool,22.88,B08013_ACS18_5YR,B08301_ACS18_5YR
Santa Rosa,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Saratoga,2018,Residence,Carpool,30.56,B08013_ACS18_5YR,B08301_ACS18_5YR
Sausalito,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
Sebastopol,2018,Residence,Carpool,,B08013_ACS18_5YR,B08301_ACS18_5YR
