Objectid,Year,County,City,Medprice,Medprice_Ia,Percentchngprice,Percentchngpriceia,Source
168,2001,Santa Clara County,San Jose,502000,819000,0.227383863080685,0.163352272727273,Zillow
169,2001,Santa Clara County,Santa Clara,534000,872000,0.210884353741497,0.150395778364116,Zillow
170,2001,Santa Clara County,Saratoga,1486000,2423000,0.269000853970965,0.20367610531545,Zillow
171,2001,Santa Clara County,Sunnyvale,633000,1033000,0.208015267175573,0.145232815964523,Zillow
172,2001,Solano County,Benicia,351000,573000,0.21875,0.157575757575757,Zillow
173,2001,Solano County,Dixon,251000,410000,0.21256038647343,0.148459383753501,Zillow
174,2001,Solano County,Fairfield,260000,425000,0.226415094339623,0.164383561643836,Zillow
175,2001,Solano County,Rio Vista,231000,376000,0.149253731343284,0.086705202312139,Zillow
176,2001,Solano County,Suisun City,237000,387000,0.234375,0.169184290030211,Zillow
177,2001,Solano County,Vacaville,255000,416000,0.220095693779904,0.158774373259053,Zillow
178,2001,Solano County,Vallejo,246000,402000,0.268041237113402,0.2,Zillow
179,2001,Sonoma County,Cloverdale,313000,512000,0.227450980392157,0.168949771689498,Zillow
180,2001,Sonoma County,Cotati,342000,558000,0.257352941176471,0.189765458422175,Zillow
181,2001,Sonoma County,Healdsburg,483000,789000,0.2075,0.148471615720524,Zillow
182,2001,Sonoma County,Petaluma,395000,645000,0.226708074534161,0.162162162162162,Zillow
183,2001,Sonoma County,Rohnert Park,323000,528000,0.256809338521401,0.194570135746606,Zillow
184,2001,Sonoma County,Santa Rosa,332000,543000,0.243445692883895,0.183006535947712,Zillow
185,2001,Sonoma County,Sebastopol,467000,762000,0.222513089005236,0.159817351598174,Zillow
186,2001,Sonoma County,Sonoma,457000,746000,0.238482384823848,0.176656151419558,Zillow
187,2001,Sonoma County,Windsor,345000,563000,0.236559139784946,0.172916666666667,Zillow
188,2002,Alameda County,Alameda,475000,762000,0.233766233766234,0.151057401812689,Zillow
189,2002,Alameda County,Albany,426000,683000,0.23121387283237,0.147899159663865,Zillow
190,2002,Alameda County,Berkeley,552000,885000,0.240449438202247,0.156862745098039,Zillow
191,2002,Alameda County,Dublin,480000,771000,0.230769230769231,0.14903129657228,Zillow
192,2002,Alameda County,Emeryville,248000,398000,0.340540540540541,0.247648902821317,Zillow
193,2002,Alameda County,Fremont,464000,745000,0.227513227513227,0.146153846153846,Zillow
194,2002,Alameda County,Hayward,349000,561000,0.326996197718631,0.241150442477876,Zillow
195,2002,Alameda County,Livermore,414000,664000,0.235820895522388,0.152777777777778,Zillow
196,2002,Alameda County,Newark,402000,646000,0.240740740740741,0.159784560143627,Zillow
197,2002,Alameda County,Oakland,353000,567000,0.389763779527559,0.297482837528604,Zillow
198,2002,Alameda County,Piedmont,678000,1088000,0.239488117001828,0.156216790648247,Zillow
199,2002,Alameda County,Pleasanton,551000,884000,0.200435729847495,0.120405576679341,Zillow
200,2002,Alameda County,San Leandro,352000,565000,0.333333333333333,0.241758241758242,Zillow
201,2002,Alameda County,Union City,423000,680000,0.274096385542169,0.192982456140351,Zillow
202,2002,Contra Costa County,Antioch,462000,742000,0.3125,0.226446280991736,Zillow
203,2002,Contra Costa County,Brentwood,398000,640000,0.251572327044025,0.167883211678832,Zillow
204,2002,Contra Costa County,Concord,211000,339000,0.31875,0.228260869565217,Zillow
205,2002,Contra Costa County,Danville,929000,1491000,0.27961432506887,0.193755004003203,Zillow
206,2002,Contra Costa County,Lafayette,723000,1160000,0.286476868327402,0.199586349534643,Zillow
207,2002,Contra Costa County,Martinez,321000,515000,0.320987654320988,0.232057416267943,Zillow
208,2002,Contra Costa County,Oakley,334000,536000,0.309803921568627,0.223744292237443,Zillow
209,2002,Contra Costa County,Pittsburg,365000,587000,0.31294964028777,0.228033472803347,Zillow
210,2002,Contra Costa County,Pleasant Hill,560000,899000,0.317647058823529,0.228142076502732,Zillow
211,2002,Contra Costa County,Richmond,344000,552000,0.328185328185328,0.240449438202247,Zillow
212,2002,Contra Costa County,San Pablo,218000,350000,0.313253012048193,0.223776223776224,Zillow
213,2002,Contra Costa County,San Ramon,592000,950000,0.264957264957265,0.181592039800995,Zillow
214,2002,Contra Costa County,Walnut Creek,498000,800000,0.260759493670886,0.17820324005891,Zillow
215,2002,Marin County,Belvedere,2544000,4082000,0.259405940594059,0.175691244239631,Zillow
216,2002,Marin County,Corte Madera,842000,1351000,0.192634560906516,0.112850082372323,Zillow
217,2002,Marin County,Fairfax,580000,931000,0.244635193133047,0.160847880299252,Zillow
218,2002,Marin County,Larkspur,881000,1413000,0.237359550561798,0.153469387755102,Zillow
219,2002,Marin County,Mill Valley,963000,1546000,0.209798994974874,0.130116959064327,Zillow
220,2002,Marin County,Novato,551000,885000,0.238202247191011,0.155352480417755,Zillow
221,2002,Marin County,Ross,1866000,2995000,0.351194786386676,0.261583824768324,Zillow
222,2002,Marin County,San Anselmo,713000,1144000,0.222984562607204,0.141716566866267,Zillow
223,2002,Marin County,San Rafael,646000,1037000,0.23047619047619,0.148394241417497,Zillow
224,2002,Marin County,Sausalito,831000,1334000,0.259090909090909,0.175330396475771,Zillow
225,2002,Marin County,Tiburon,1582000,2539000,0.2656,0.182029795158287,Zillow
226,2002,Napa County,American Canyon,279000,448000,0.423469387755102,0.325443786982249,Zillow
227,2002,Napa County,Calistoga,564000,905000,0.420654911838791,0.323099415204678,Zillow
228,2002,Napa County,Napa,361000,580000,0.352059925093633,0.263616557734205,Zillow
229,2002,Napa County,Yountville,790000,1269000,0.310116086235489,0.223722275795564,Zillow
230,2002,San Francisco County,San Francisco,590000,948000,0.216494845360825,0.135329341317365,Zillow
231,2002,San Mateo County,Atherton,3878000,6223000,0.319945541184479,0.232033260740447,Zillow
232,2002,San Mateo County,Belmont,723000,1160000,0.136792452830189,0.060329067641682,Zillow
233,2002,San Mateo County,Brisbane,527000,846000,0.203196347031964,0.123505976095617,Zillow
234,2002,San Mateo County,Burlingame,852000,1368000,0.12401055408971,0.049884881043745,Zillow
235,2002,San Mateo County,Colma,483000,775000,0.244845360824742,0.160179640718563,Zillow
236,2002,San Mateo County,Daly City,472000,757000,0.268817204301075,0.1828125,Zillow
237,2002,San Mateo County,East Palo Alto,456000,733000,0.280898876404494,0.197712418300654,Zillow
238,2002,San Mateo County,Foster City,638000,1024000,0.155797101449275,0.079030558482613,Zillow
239,2002,San Mateo County,Half Moon Bay,661000,1060000,0.186714542190305,0.105318039624609,Zillow
240,2002,San Mateo County,Hillsborough,2213000,3552000,0.263127853881278,0.179674526735304,Zillow
241,2002,San Mateo County,Menlo Park,837000,1343000,0.129554655870445,0.053333333333333,Zillow
242,2002,San Mateo County,Millbrae,729000,1171000,0.155309033280507,0.07926267281106,Zillow
243,2002,San Mateo County,Pacifica,517000,829000,0.230952380952381,0.14819944598338,Zillow
244,2002,San Mateo County,Portola Valley,2149000,3449000,0.228,0.146227982718511,Zillow
245,2002,San Mateo County,Redwood City,647000,1038000,0.167870036101083,0.089192025183631,Zillow
246,2002,San Mateo County,San Bruno,487000,782000,0.245524296675192,0.163690476190476,Zillow
247,2002,San Mateo County,San Carlos,736000,1182000,0.135802469135802,0.061994609164421,Zillow
248,2002,San Mateo County,San Mateo,600000,964000,0.183431952662722,0.105504587155963,Zillow
249,2002,San Mateo County,South San Francisco,487000,783000,0.255154639175258,0.173913043478261,Zillow
250,2002,San Mateo County,Woodside,2003000,3214000,0.279054916985952,0.194351542177629,Zillow
251,2002,Santa Clara County,Campbell,563000,903000,0.208154506437768,0.125935162094763,Zillow
252,2002,Santa Clara County,Cupertino,873000,1401000,0.17654986522911,0.098823529411765,Zillow
253,2002,Santa Clara County,Gilroy,491000,788000,0.221393034825871,0.138728323699422,Zillow
254,2002,Santa Clara County,Los Altos,1465000,2351000,0.222871452420701,0.14126213592233,Zillow
